Model,MAE,RMSE,MAPE,ME
NAIVE,1.8084210526315794,2.8466647150656854,4.218338502107801,0.12263157894736833
XGB,1.8103774856138786,2.865009171465202,4.202624213312633,0.20752906468059673
RF,1.8323151343113513,2.873289799242406,4.242297303529108,0.33385676741179676
HADT,1.8697907252705515,2.899022590243159,4.323708727823121,0.19315918407618102
