Model,MAE,RMSE,MAPE,ME
XGB,1.4125833197114503,2.2973625788513594,2.558736891803955,0.3165606444858407
NAIVE,1.4578947368421056,2.2995972187365883,2.6446962145368733,0.15684210526315792
RF,1.4240812983848508,2.315935260281093,2.5720860449830854,0.5543206063770537
HADT,1.4549208544350893,2.3557865535960127,2.636285855655276,0.2263057674207728
