price_premium
38.0
38.0
38.0
38.0
38.0
38.0
38.0
38.0
38.0
38.9
39.2
39.2
39.2
39.2
39.2
39.2
39.2
36.6
35.9
36.0
35.4
35.4
35.4
35.25
35.35
35.4
35.4
36.0
36.32
37.6
38.12
37.9
37.75
39.64
41.0
40.25
40.5
41.04
41.55
42.0
42.75
44.46
44.7
44.49
44.54
43.88
43.88
43.96
43.83
43.64
43.67
43.13
42.93
42.93
43.11
43.08
42.85
43.35
42.73
42.58
42.16
42.38
39.65
40.96
41.48
41.47
41.53
41.65
41.73
41.73
41.78
41.82
41.8
41.68
41.48
41.42
41.36
41.33
41.4
41.85
42.08
43.0
43.1
43.05
43.13
43.25
43.73
44.47
46.15
46.75
47.58
49.05
49.0
47.28
47.55
48.18
48.25
47.3
46.46
44.93
45.63
44.83
45.18
45.28
44.83
44.644999999999996
44.46
45.07
45.235
45.4
46.4
46.13
46.75
47.4
48.0
48.54
47.65
47.45
48.35
47.9
47.24166666666667
46.583333333333336
45.925
45.266666666666666
44.608333333333334
43.95
44.36
44.32
44.4
45.24
45.43
45.29
45.44
45.6
45.55
45.72
45.75
45.7
45.8
45.85
46.05
45.68
45.7
46.0
45.86
46.73
47.4
47.4
