Model,MAE,RMSE,MAPE,ME
HADT,2.4921337742504415,3.335701917831132,5.028252948459828,1.778665520282187
RF,2.8828022236919697,3.7506255256422483,5.743237830716597,2.469286206643181
XGB,3.161893508884222,3.864478687532393,6.367313941126415,2.392849343543751
LSTM,6.661958514985584,7.869446064168824,13.284042892812268,6.489651383926419
