Model,MAE,RMSE,MAPE,ME
NAIVE,1.4578947368421056,2.2995972187365883,2.6446962145368733,0.15684210526315792
RF,1.4298343032685985,2.3136410112060455,2.5854988319654626,0.37807867077238216
XGB,1.4198635372088149,2.3269799549839876,2.568285510792335,0.3856788790108342
HADT,1.464699878020469,2.4121879341385473,2.6485997420740084,0.3658040815673767
