Model,MAE,RMSE,MAPE,ME
NAIVE,1.465,2.2995016622600737,2.7738246771831436,0.1818421052631578
HADT,1.4707970296565793,2.3097830929074714,2.784810465898265,0.20890920394423174
RF,1.4808318444188682,2.335809122527563,2.8002086547204526,0.2524689069984935
XGB,1.503188761066842,2.348583618713694,2.8443284237919695,0.19167171227108482
