price_regular_milled
29.0
29.05
29.16
29.0
29.0
29.52
30.0
30.0
30.08
30.3
30.0
30.0
30.0
30.0
29.8
30.0
30.0
30.0
30.0
29.68
28.9
29.15
29.0
28.8
29.0
29.6
29.8
29.65
30.52
33.0
33.92
34.15
34.0
35.96
37.25
37.0
36.8
37.0
37.0
37.75
37.86
37.75
37.22
37.12
36.35
36.13
35.8
35.05
35.16
35.31
34.835
34.36
33.95
34.33
34.3
33.8
33.35
32.67
32.55
32.56
32.56
33.75
33.13
33.53
33.58
33.76
33.76
34.08
33.6
33.65
33.73
33.68
33.44
33.58
33.64
33.55
33.5
33.64
34.0
34.15
34.38
34.15
34.2
34.3
34.93
38.9
40.15
41.75
44.05
42.6
41.63
40.73
40.3
39.6
39.1
39.3
39.25
39.35
39.37
39.28
39.1
38.84
38.58
41.2
40.4
40.96
40.6
40.85
40.95
40.95
40.53333333333334
40.11666666666667
39.7
39.28333333333334
38.86666666666667
38.45
38.08
39.36
39.25
39.2
39.3
39.44
39.76
39.85
39.95
39.96
40.1
39.95
40.04
40.55
39.95
39.88
38.78
40.24
41.15
41.06
