Model,MAE,RMSE,MAPE,ME
NAIVE,1.8084210526315794,2.8466647150656854,4.218338502107801,0.12263157894736833
RF,1.8163160285536577,2.855305941915351,4.227421557555474,0.21879872251327323
XGB,1.8470215854394305,2.8728749546535446,4.28958163447082,0.10938762885886
HADT,1.903432587655923,2.8823677126660123,4.389727941387514,0.4875999181680869
