Model,MAE,RMSE,MAPE,ME
NAIVE,1.465,2.2995016622600737,2.7738246771831436,0.1818421052631578
HADT,1.4641910324673808,2.31538237281125,2.77111726857182,0.21037830475325928
XGB,1.4742276010586344,2.3384116674807327,2.789941702808076,0.28916208283264966
RF,1.4681953727576704,2.3445359994741013,2.7789577147403466,0.41219487277874234
