price_well_milled
31.9
31.8
31.84
31.3
31.0
31.44
31.65
31.9
32.0
32.2
33.0
32.25
32.1
32.44
32.2
32.3
32.4
32.3
32.0
32.0
31.9
32.0
32.0
32.0
32.7
33.0
33.0
33.0
33.6
35.6
36.72
36.35
36.5
37.6
38.75
38.0
38.6
39.45
39.24
39.55
40.16
40.35
40.4
40.2
40.1
40.18
40.16
39.93
39.8
39.6
39.43
39.22
38.53
38.42
38.38
38.4
38.13
37.51
37.4
37.49
37.44
37.35
37.8
37.7
37.7
37.69
37.84
37.95
38.0
38.03
38.03
37.95
37.94
37.89
37.91
37.88
38.1
37.9
38.13
38.15
37.98
37.95
38.0
37.89
38.49
40.78
43.03
43.6
45.83
45.43
44.55
44.3
44.33
43.65
41.7
41.7
41.53
41.6
41.83
41.66
41.5
41.39
41.28
43.4
43.7
43.78
43.7
43.6
44.05
43.8
43.15833333333333
42.516666666666666
41.875
41.233333333333334
40.59166666666667
39.95
39.88
40.36
40.25
40.48
40.65
41.38
41.56
41.65
41.65
41.76
41.75
41.8
43.16
41.9
41.9
42.88
42.59
43.32
44.03
44.03
